parte,variante,termino,est,ic_inf,ic_sup,p
1_presencia_logit,b_sin_colchane,C(cuartil)[T.4],1.3936567286526464,0.36322493700439196,5.347317541954204,0.6285149240217385
1_presencia_logit,b_sin_colchane,C(cod_reg)[T.2],2.8880659547126317,0.03555124215161069,234.61697690335947,0.6364147415905709
1_presencia_logit,b_sin_colchane,C(cod_reg)[T.3],0.9166151387554244,0.022485638939332715,37.365329704994345,0.9632908940261076
1_presencia_logit,b_sin_colchane,C(cod_reg)[T.4],0.16923679831333593,0.006092199098052878,4.701273455180202,0.2949249254871481
1_presencia_logit,b_sin_colchane,C(cod_reg)[T.5],0.03169511908359762,0.0013827938237124496,0.7264861590330155,0.030778735430116347
1_presencia_logit,b_sin_colchane,C(cod_reg)[T.6],0.11846034038478621,0.0054979932216619445,2.552358956862726,0.17326527275569226
1_presencia_logit,b_sin_colchane,C(cod_reg)[T.7],0.007074935605251987,0.00027531803692695567,0.1818068818780016,0.002796896383620092
1_presencia_logit,b_sin_colchane,C(cod_reg)[T.8],0.008710495573753795,0.00034550456660250385,0.2195997983079468,0.003968971752510334
1_presencia_logit,b_sin_colchane,C(cod_reg)[T.9],0.011160355993289644,0.0004552590564042438,0.2735882881292088,0.005886923902414167
1_presencia_logit,b_sin_colchane,C(cod_reg)[T.10],0.03526173592839603,0.0015772213684437588,0.788342109459743,0.03485994123671607
1_presencia_logit,b_sin_colchane,C(cod_reg)[T.11],0.04337596822612992,0.00043806928047201673,4.294924806247441,0.18078418441217659
1_presencia_logit,b_sin_colchane,C(cod_reg)[T.12],0.03667136658010748,0.0002820305135892644,4.76823982532298,0.18317470240108402
1_presencia_logit,b_sin_colchane,C(cod_reg)[T.13],0.04123232048858224,0.0012861244566716521,1.3218815986695718,0.07150847455816452
1_presencia_logit,b_sin_colchane,C(cod_reg)[T.14],0.010682702227852149,0.0003710645622840022,0.30754789998408155,0.008102393405663473
1_presencia_logit,b_sin_colchane,C(cod_reg)[T.15],0.019466319165312017,2.6457240880650804e-17,14322641712912.896,0.821564564718203
1_presencia_logit,b_sin_colchane,C(cod_reg)[T.16],0.030648052358285435,0.0012823353781792812,0.7324941113999922,0.03138156820114448
1_presencia_logit,b_sin_colchane,log_pob,13.388844137148054,6.862569267411712,26.12157930122489,2.7758755744551364e-14
2_intensidad_nb,b_sin_colchane,Intercept,9.276087675722224e-05,1.0681159290086597e-05,0.0008055848642529533,3.779435578853005e-17
2_intensidad_nb,b_sin_colchane,C(cuartil)[T.2],1.1246797757888738,0.7574594350966847,1.6699304800488157,0.5601621197048021
2_intensidad_nb,b_sin_colchane,C(cuartil)[T.3],1.2566547484542125,0.8463482261228319,1.8658763710616335,0.2573092873498507
2_intensidad_nb,b_sin_colchane,C(cuartil)[T.4],0.7582406788230877,0.5002429362090389,1.1492994411456285,0.19216310810982695
2_intensidad_nb,b_sin_colchane,"C(clasif, Treatment(reference=""Rural""))[T.Mixta]",1.448650654631767,1.021052865403292,2.0553183779922635,0.03782913571509341
2_intensidad_nb,b_sin_colchane,"C(clasif, Treatment(reference=""Rural""))[T.Urbana]",1.683291262836499,0.9998774386100184,2.833816792066685,0.050053934947746556
2_intensidad_nb,b_sin_colchane,C(cod_reg)[T.2],0.9585398116159809,0.3842185248958235,2.3913437560094795,0.9276656383485968
2_intensidad_nb,b_sin_colchane,C(cod_reg)[T.3],0.7105899646596915,0.2920792970851801,1.7287705870087904,0.45133443990937483
2_intensidad_nb,b_sin_colchane,C(cod_reg)[T.4],0.25370769528542814,0.10763275043629282,0.5980298225784211,0.0017178417522157735
2_intensidad_nb,b_sin_colchane,C(cod_reg)[T.5],0.2943132927560577,0.13292528845787396,0.6516466151612995,0.0025617370217793393
2_intensidad_nb,b_sin_colchane,C(cod_reg)[T.6],0.16328700949577557,0.07380371415211948,0.36126430460014736,7.716362814627853e-06
